name,age,married,working,past_deliveries,delivery_time
Lucky Hora,65,Yes,Yes,5,3-4
Yadavi Pant,54,Yes,No,5,4-5
Adya Karpe,37,Yes,No,3,9-10
Aadhya Sundaram,55,Yes,Yes,5,4-5
Kamala Sahota,53,No,Yes,4,4-5
Owen Choudhary,50,No,Yes,0,12-1
Ikbal Walia,28,Yes,No,0,9-10
Mahika Kothari,18,No,Yes,4,11-12
Ekani Seth,36,No,Yes,3,1-2
Anmol Deo,34,No,Yes,2,12-1
Dakshesh Mittal,43,Yes,No,3,2-3
Yutika Sidhu,47,Yes,Yes,5,11-12
Laban Bora,35,No,No,3,12-1
Shivani Barad,68,No,No,5,11-12
Zayyan Master,33,No,Yes,5,11-12
Ryan Grewal,54,Yes,No,5,10-11
Vasudha Khalsa,69,Yes,Yes,2,12-1
Rudra Mallick,33,Yes,Yes,5,1-2
Wahab Prakash,52,No,No,5,3-4
Yashoda Babu,35,No,Yes,0,2-3
Ansh Kunda,29,Yes,No,5,1-2
Praneel Jain,44,No,No,5,3-4
Yashvi Pau,48,No,No,5,11-12
Irya Deol,50,No,Yes,4,4-5
Vincent Rajan,40,Yes,No,5,4-5
Balhaar Bhavsar,63,Yes,Yes,4,4-5
Shivansh Korpal,69,Yes,No,5,2-3
Yashoda More,20,Yes,Yes,4,2-3
Unni Golla,43,Yes,Yes,3,4-5
Krishna Dubey,22,Yes,Yes,3,1-2
Faqid Bhatia,39,No,No,2,4-5
Avi Basu,57,No,Yes,4,12-1
Chakrika Soman,48,No,Yes,2,12-1
Xalak Pingle,68,No,No,4,4-5
Naveen Kohli,39,Yes,Yes,3,1-2
Chakrika Virk,45,Yes,Yes,0,2-3
Kavya Wadhwa,57,Yes,Yes,5,3-4
Nisha Keer,29,No,No,4,9-10
Nikita Minhas,61,No,Yes,5,2-3
Balhaar Bhavsar,63,Yes,Yes,4,4-5
Oni Balasubramanian,43,Yes,Yes,3,10-11
Viraj Dixit,49,No,Yes,5,1-2
Hamsini Krishnamurthy,29,No,Yes,2,2-3
Avni Suri,19,Yes,Yes,3,3-4
Viraj Dixit,49,No,Yes,5,1-2
Rishi Dubey,43,Yes,No,4,10-11
Ikshita Sachar,30,No,No,5,3-4
Yamini Sami,67,No,No,5,9-10
Ojasvi Balakrishnan,21,No,Yes,4,1-2
Eta Kohli,45,Yes,No,5,4-5
Chakradhar Vig,68,No,Yes,5,11-12
Hemangini Bhardwaj,36,Yes,No,3,1-2
Hitesh Gulati,47,Yes,Yes,4,12-1
Ekani Baral,32,No,Yes,2,2-3
Kiaan Dugal,19,No,No,5,9-10
Gaurang Issac,26,Yes,No,4,12-1
Gautami Shan,44,No,No,5,4-5
Chaman Grewal,58,Yes,No,4,11-12
Kritika Chaudhary,22,Yes,No,4,11-12
Ronith Kuruvilla,27,Yes,Yes,4,11-12
Jairaj Shan,61,No,No,4,11-12
Kritika Chaudhary,22,Yes,No,4,11-12
Sara Munshi,58,Yes,Yes,3,11-12
Zinal Rajagopalan,63,No,No,3,4-5
Triveni Loyal,60,Yes,Yes,5,1-2
Advika Mishra,22,No,Yes,3,1-2
Balendra De,60,Yes,Yes,4,12-1
Naveen Srinivas,28,No,Yes,4,10-11
Gayathri Bassi,42,Yes,Yes,2,2-3
Aayush Raval,51,Yes,Yes,5,12-1
Laban Nadkarni,27,No,No,1,1-2
Vidhi Madan,69,No,No,4,1-2
Abeer Chatterjee,51,Yes,Yes,3,12-1
Nathan Subramaniam,63,Yes,No,3,9-10
Chakrika Parekh,23,Yes,Yes,5,2-3
Abhiram Sharma,58,No,Yes,5,10-11
Andrew Mohanty,33,Yes,No,5,12-1
Daniel Narayanan,37,Yes,No,5,12-1
Anmol Dugal,31,Yes,No,3,12-1
Ganga Desai,54,No,No,5,12-1
Quincy Lanka,48,No,Yes,5,9-10
Reva Suri,66,Yes,Yes,5,9-10
Edhitha Bhakta,49,Yes,Yes,5,11-12
Ojas Yohannan,66,No,No,0,3-4
Harinakshi Pathak,35,Yes,No,4,2-3
Yauvani Mane,33,Yes,No,2,9-10
Praneel Dugar,23,No,No,1,12-1
Bhavika Thakur,54,Yes,No,5,10-11
Advik Natt,20,Yes,No,2,3-4
Lohit Sami,19,Yes,No,4,10-11
Turvi Vyas,69,No,Yes,4,10-11
Peter Keer,60,No,Yes,5,10-11
Yasti Kalita,67,Yes,Yes,4,2-3
Ayush Shah,45,Yes,Yes,3,1-2
Bhanumati Gara,52,Yes,No,5,12-1
Leena Tara,24,Yes,Yes,4,12-1
Rayaan Memon,52,No,Yes,3,4-5
Azad Vohra,25,No,Yes,5,1-2
Chameli Verma,43,No,Yes,2,1-2
Ekansh Kalla,65,No,Yes,3,9-10
Ijaya Sem,50,No,Yes,5,2-3
Chandran Magar,32,Yes,Yes,4,3-4
Hardik Sengupta,50,Yes,No,2,11-12
Chakrika Mahajan,48,Yes,Yes,1,10-11
Chameli Ramesh,32,No,No,5,3-4
Tristan Rout,64,Yes,Yes,3,11-12
Falak Choudhury,59,No,No,3,12-1
Chameli Gupta,59,Yes,No,5,2-3
Shivansh Brahmbhatt,49,Yes,Yes,5,11-12
Isaac Mitra,20,No,Yes,5,10-11
Kavya Hayre,49,Yes,No,3,10-11
Ria Kala,61,No,Yes,5,12-1
Chatura Dube,36,No,Yes,5,1-2
Dhruv Zachariah,42,Yes,Yes,5,9-10
Ganga Divan,51,No,Yes,5,11-12
Balhaar Kala,23,No,Yes,4,11-12
Frado Chaudhuri,65,Yes,Yes,4,12-1
Forum Nagi,62,No,Yes,4,11-12
Vritti Sur,61,No,No,3,2-3
Patrick Banerjee,67,No,No,3,2-3
Falan Pathak,25,No,Yes,5,10-11
Odika Sanghvi,18,No,Yes,5,10-11
Logan Palla,50,Yes,Yes,3,4-5
Xavier Joshi,27,No,No,4,2-3
Nitesh Bhargava,42,Yes,No,2,4-5
Sanya Shroff,47,Yes,Yes,4,9-10
Ijaya Oak,47,No,No,4,1-2
Gaurangi Bhatnagar,46,No,Yes,3,9-10
Ikshita Bhagat,54,Yes,Yes,0,9-10
Benjamin Dara,53,Yes,No,1,10-11
Zayan Kurian,48,No,Yes,5,9-10
Dominic Sood,30,Yes,Yes,4,2-3
Inaya Parmar,30,No,No,4,9-10
Amruta Bhakta,54,No,No,2,11-12
Upasna Puri,60,No,No,5,9-10
Mekhala Khatri,51,No,No,5,3-4
Shaurya Murthy,29,Yes,Yes,0,12-1
Gautam Ghosh,66,No,Yes,1,12-1
Chandran Ravel,28,No,No,5,12-1
Zinal Nagy,23,No,Yes,5,11-12
Balendra Ramakrishnan,60,No,No,3,10-11
Panini Sastry,34,No,No,4,1-2
Leela Ray,26,Yes,No,5,1-2
Sathvik Sami,56,Yes,No,5,11-12
Charan Tata,33,Yes,No,4,4-5
Aachal Rana,49,Yes,Yes,3,9-10
Rushil Sankar,20,Yes,Yes,3,10-11
Ekapad Biswas,28,No,Yes,5,2-3
Kamala Sahota,53,No,Yes,4,4-5
Neel Wable,43,Yes,Yes,5,3-4
Rushil Sharma,55,Yes,No,5,10-11
Ira Suri,63,Yes,No,5,11-12
Andrew Mohanty,33,Yes,No,5,12-1
Chakradev Palan,25,Yes,No,5,9-10
Anjali Raval,53,Yes,No,1,12-1
Aryan Pillai,31,Yes,Yes,4,9-10
Garima Chopra,62,Yes,Yes,4,1-2
Odika Sanghvi,18,No,Yes,5,10-11
Nicholas Narula,48,No,Yes,5,11-12
Ekapad Vasa,54,No,Yes,3,3-4
Fiyaz Soni,43,Yes,No,3,11-12
Umang Bora,40,No,No,5,11-12
Leena Dasgupta,40,Yes,No,1,11-12
Leela Oommen,70,Yes,No,4,10-11
Laban Sharaf,33,No,No,5,12-1
Manbir Karnik,70,No,No,4,3-4
Kalpit Kothari,41,Yes,No,3,4-5
Eta Narain,21,No,No,5,12-1
Luke Zachariah,66,No,No,3,1-2
Niharika Puri,38,Yes,Yes,3,10-11
Kai Ratti,36,No,Yes,5,3-4
Aryan Pillai,31,Yes,Yes,4,9-10
Ishani Agrawal,55,No,Yes,0,1-2
Reva Suri,66,Yes,Yes,5,9-10
Kamya Modi,58,No,No,3,3-4
David Borah,46,No,No,4,2-3
Sarthak Pandya,66,No,Yes,3,2-3
Mekhala Varghese,47,Yes,Yes,5,4-5
Ekiya Mammen,49,Yes,Yes,3,4-5
Yashica Salvi,32,Yes,No,5,10-11
Xavier Gara,43,Yes,Yes,1,12-1
Jeet Walla,30,No,Yes,4,1-2
Om Kashyap,38,Yes,Yes,2,9-10
Qasim Cherian,26,No,No,4,2-3
Ekapad Vasa,54,No,Yes,3,3-4
Qabil Zacharia,57,Yes,No,3,4-5
Zinal Dalal,48,Yes,No,3,3-4
Lohit Kalla,46,No,No,5,1-2
Diya Kulkarni,44,Yes,No,5,3-4
Lila Andra,70,Yes,No,1,3-4
Jason Nayak,39,Yes,No,5,3-4
Siddharth Ganesh,62,No,No,1,9-10
Yashodhara Walia,39,Yes,Yes,3,10-11
Lila Behl,61,Yes,Yes,3,4-5
Mekhala Chandran,49,Yes,No,1,2-3
Panini Sharma,70,Yes,No,4,4-5
Devansh Choudhry,42,No,No,4,10-11
Gaurav Reddy,47,Yes,No,4,1-2
Wridesh Bajwa,60,No,No,3,9-10
Ekaja Hayer,68,No,Yes,4,10-11
Jacob Rajan,40,Yes,No,4,11-12
Kashish Lad,19,No,No,3,4-5
Anirudh Kakar,22,Yes,No,5,11-12
Tamanna Karnik,31,Yes,Yes,2,11-12
Ekantika Thaker,48,No,Yes,4,1-2
Advaith Ram,21,No,Yes,1,11-12
Advika Choudhary,57,Yes,No,1,12-1
Vasatika Sastry,56,No,Yes,5,2-3
Dhruv Zachariah,42,Yes,Yes,5,9-10
Raagini Baral,66,No,Yes,5,11-12
Unni Mannan,40,No,No,5,10-11
Chavvi Venkatesh,66,Yes,Yes,0,12-1
Dev Gaba,62,No,Yes,5,4-5
Prisha Saxena,37,No,Yes,2,1-2
Aryan Buch,26,No,No,5,2-3
Nidra Varma,49,No,No,4,11-12
Hredhaan Bhalla,65,Yes,Yes,4,3-4
Kevin Narang,57,No,Yes,4,1-2
Mugdha Jayaraman,28,Yes,No,4,1-2
Andrew Dutta,27,No,No,3,10-11
Neha Puri,60,Yes,No,4,9-10
Devansh Choudhry,42,No,No,4,10-11
Dipta Uppal,22,Yes,No,4,2-3
Vaishnavi Soni,64,No,Yes,4,10-11
Aarna Panchal,20,No,No,3,12-1
Peter Chada,18,Yes,No,3,1-2
Advaith Ram,61,No,No,3,11-12
Harini Chokshi,35,Yes,Yes,3,12-1
Baljiwan Thaker,50,Yes,Yes,3,11-12
Udant Uppal,60,Yes,No,4,3-4
Saksham Nagi,69,No,Yes,5,12-1
Yutika Ramanathan,20,No,Yes,4,4-5
Siya Chaudhari,30,Yes,No,4,2-3
Dipta Mody,31,Yes,Yes,5,12-1
Riya Borra,35,No,Yes,5,12-1
Hamsini Borde,60,Yes,Yes,5,12-1
Dalbir Nori,43,Yes,Yes,5,1-2
Vasudha Khalsa,69,Yes,Yes,2,12-1
Lekha Chakrabarti,64,No,No,4,11-12
Yamini Sami,67,No,No,5,9-10
Unni Bava,40,No,Yes,3,3-4
Oni Sha,49,Yes,Yes,3,12-1
Ladli Bhatti,31,No,Yes,1,12-1
Abhiram Andra,68,Yes,No,3,12-1
Gaurika Dhawan,22,Yes,No,5,1-2
Dhriti Sharaf,27,No,No,3,9-10
Nimrat Badami,27,Yes,Yes,5,9-10
Logan Mukhopadhyay,33,No,Yes,5,2-3
Yutika Suresh,29,No,Yes,2,4-5
Isaiah Bhardwaj,57,Yes,No,2,12-1
Abdul Chad,38,Yes,No,4,4-5
Qushi Sidhu,51,No,Yes,5,9-10
Edhitha Badami,48,No,No,5,9-10
Yutika Buch,53,Yes,No,4,3-4
Rudra Arya,68,Yes,No,3,10-11
Vritti Sha,58,Yes,Yes,0,3-4
Udarsh Purohit,25,Yes,No,5,1-2
Kiaan Dugal,19,No,No,5,9-10
Udant Uppal,60,Yes,No,4,3-4
Vaishnavi Gour,39,No,Yes,4,1-2
Warjas Contractor,65,No,Yes,3,12-1
Ekansh Sibal,66,Yes,No,2,1-2
Manya Saraf,31,Yes,No,0,4-5
Samarth Bhakta,21,No,Yes,2,2-3
Triveni Iyer,33,Yes,No,3,2-3
Ishanvi Kale,47,No,No,4,1-2
Alexander Sagar,20,Yes,No,4,9-10
Kritika Baria,22,Yes,Yes,4,2-3
Atharv Nagy,59,Yes,Yes,4,12-1
Keya Sangha,52,No,No,4,2-3
Nicholas Narula,48,No,Yes,5,11-12
Zarna Kant,67,No,No,1,10-11
Kashvi Mukherjee,30,No,Yes,4,10-11
Daksh Purohit,18,Yes,No,2,11-12
Qabil Chander,18,No,Yes,5,10-11
Nimrat Badami,27,Yes,Yes,5,9-10
Yahvi Buch,52,Yes,Yes,5,10-11
Ekbal Patla,29,No,Yes,2,1-2
Utkarsh Buch,37,No,No,5,3-4
Ubika Bains,43,No,Yes,4,1-2
Anjali Chaudhry,19,No,No,1,11-12
Kabir Sha,37,Yes,No,5,2-3
Balhaar Thaker,32,Yes,Yes,4,3-4
Oni Sha,49,Yes,Yes,3,12-1
Mahika Chaudry,59,Yes,Yes,5,1-2
Jatin Doctor,38,No,No,0,10-11
Ekaraj Kalla,54,Yes,Yes,3,11-12
Vanya Sunder,31,Yes,Yes,3,12-1
Qarin Sarkar,23,No,No,2,12-1
Vinaya Dani,45,No,Yes,5,1-2
Yatan Dugal,62,No,Yes,4,9-10
Gabriel Mani,46,Yes,Yes,3,3-4
Wishi Bala,55,No,Yes,2,4-5
Vedika Guha,31,No,No,4,9-10
Alka Singhal,66,No,No,2,9-10
Aarini Sundaram,30,Yes,Yes,4,11-12
Yashasvi Nazareth,19,No,No,0,3-4
Jonathan Sachar,31,Yes,No,0,3-4
Anmol Dugal,31,Yes,No,3,12-1
Chaitanya Bajaj,66,No,Yes,5,11-12
Mahika Dhaliwal,52,Yes,Yes,3,2-3
Varenya Sarma,37,No,No,3,12-1
Ishani Mallick,28,Yes,No,4,9-10
Frederick Raghavan,22,Yes,No,4,1-2
Nimrat Bava,65,No,No,1,10-11
Rehaan Mall,65,No,Yes,3,12-1
Aarush Saha,20,Yes,No,5,11-12
Raksha Buch,45,No,Yes,3,12-1
Charan Tata,33,Yes,No,4,4-5
Lohit Sankar,59,Yes,No,5,1-2
Kevin Bhattacharyya,68,Yes,Yes,1,3-4
Nitara Varkey,48,Yes,No,4,9-10
Nisha Rout,65,No,Yes,4,12-1
Bhanumati Pandit,22,No,Yes,5,1-2
Aarini Gera,53,Yes,No,1,2-3
Falguni Sethi,30,Yes,Yes,2,12-1
Daniel Merchant,70,Yes,Yes,4,1-2
Isaac Narain,63,No,Yes,4,11-12
Vritti Baria,25,No,Yes,2,10-11
Jeremiah Jani,62,No,No,2,3-4
Keya Kapur,24,Yes,Yes,5,3-4
Yoshita Mitter,60,Yes,No,5,1-2
Guneet Konda,30,No,Yes,1,2-3
Tristan Saxena,57,Yes,No,5,9-10
Chasmum Soni,49,No,No,3,12-1
Udarsh Patla,61,Yes,No,4,10-11
Oscar Bumb,33,No,No,5,1-2
Maya Devi,20,No,No,5,12-1
Ranveer Balay,61,Yes,Yes,5,12-1
Aarini Vala,18,Yes,No,4,4-5
Samesh Deep,69,Yes,Yes,5,12-1
Upma Sane,46,Yes,No,5,11-12
Harini Vyas,19,No,Yes,2,11-12
Lila Narula,27,Yes,Yes,4,2-3
Indali Raj,62,Yes,No,4,3-4
Brinda Kota,47,Yes,Yes,4,1-2
Yasti Kalita,67,Yes,Yes,4,2-3
Chandran Bhandari,66,Yes,No,5,12-1
Gayathri Bassi,42,Yes,Yes,2,2-3
Keya Shetty,32,No,Yes,4,10-11
Vaishnavi Chowdhury,48,No,Yes,5,2-3
Advaith Kumer,59,Yes,No,4,11-12
Arunima Chand,61,Yes,Yes,2,9-10
Jagrati Malhotra,40,Yes,Yes,2,3-4
Meghana Dass,26,Yes,Yes,2,4-5
Sarthak Gopal,38,No,Yes,4,3-4
Yashodhara Bal,49,Yes,No,0,2-3
Ishani Mallick,28,Yes,No,4,9-10
Harita Doctor,45,Yes,No,5,2-3
Anthony Dalal,30,No,No,2,12-1
Laban Sharaf,33,No,No,5,12-1
Isaac Sarraf,51,Yes,No,5,11-12
Bhavya Jain,20,Yes,No,5,1-2
Theodore Sinha,52,No,Yes,3,9-10
Baghyawati Jha,69,No,Yes,5,12-1
Orinder Sule,38,No,Yes,1,11-12
Diya Mane,32,No,No,4,10-11
Ranbir Srivastava,45,No,No,4,12-1
Anirudh Kakar,22,Yes,No,5,11-12
Dominic Dave,51,Yes,No,3,10-11
Bishakha Bhandari,57,Yes,Yes,3,12-1
Chasmum Patla,48,Yes,Yes,4,1-2
Omkaar Dugar,58,Yes,No,2,3-4
Vedika Vora,59,No,Yes,0,4-5
Girik Ghosh,24,No,Yes,0,2-3
Vinaya Murty,48,Yes,Yes,5,9-10
Balendra Ramakrishnan,60,No,No,3,10-11
Ekantika Thaker,48,No,Yes,4,1-2
Urmi Chawla,58,No,Yes,2,4-5
Samuel Ramanathan,44,No,No,4,9-10
Aarini Vala,18,Yes,No,4,4-5
Rudra Bava,33,Yes,No,0,12-1
Wishi Iyengar,20,Yes,No,0,10-11
Hardik Bhakta,51,No,No,4,2-3
Baghyawati Dhillon,63,No,No,2,12-1
Triveni Loyal,60,Yes,Yes,5,1-2
Anthony Dalal,30,No,No,2,12-1
Chaman Rao,51,Yes,No,5,2-3
Yasti Kalita,67,Yes,Yes,4,2-3
Owen Jain,47,Yes,Yes,5,2-3
Riya Sahni,65,No,Yes,4,4-5
Vanya Sunder,31,Yes,Yes,3,12-1
Oscar Bumb,33,No,No,5,1-2
Utkarsh Buch,37,No,No,5,3-4
Turvi Patil,20,Yes,No,5,12-1
Kamala Chandra,44,Yes,Yes,5,11-12
Gabriel Mani,46,Yes,Yes,3,3-4
Aarini Ganesh,47,No,No,4,4-5
Shivansh Nadig,48,No,No,2,3-4
Kritika Prakash,46,No,Yes,2,9-10
Yashodhara Bajwa,63,Yes,Yes,2,4-5
Gaurang Naidu,60,No,No,4,9-10
Bhavini Anand,60,Yes,Yes,4,3-4
Rishi Srinivas,70,Yes,No,2,11-12
Samarth Bera,21,No,No,3,2-3
Harsh Shenoy,53,No,No,4,11-12
George Hegde,46,Yes,Yes,3,3-4
Faris Narayanan,55,No,No,5,11-12
Nisha Barad,64,No,Yes,5,9-10
Yahvi Purohit,44,No,No,0,12-1
Qarin Mahajan,25,Yes,Yes,0,3-4
Faqid Varty,23,No,Yes,3,12-1
Luke Basak,54,No,No,0,9-10
Raagini Baral,66,No,Yes,5,11-12
Harrison Prabhakar,31,No,No,5,9-10
Aarush Pradhan,34,Yes,Yes,4,2-3
Nirja Parekh,41,Yes,No,1,12-1
Yutika Sidhu,47,Yes,Yes,5,11-12
Logan Mukhopadhyay,33,No,Yes,5,2-3
Charan Brar,53,Yes,No,3,12-1
Balhaar Randhawa,58,Yes,No,2,11-12
Frederick Natt,22,Yes,No,4,12-1
Bhavani Sachdeva,34,Yes,No,5,4-5
Damini Banerjee,27,Yes,No,3,12-1
Libni Chaudhary,37,Yes,Yes,4,9-10
Ishani Rana,69,No,Yes,4,11-12
Devansh Bedi,37,No,No,5,11-12
Ayush Srinivasan,55,No,No,1,9-10
Bachittar Bahl,65,Yes,No,3,4-5
Shivansh Misra,24,Yes,Yes,2,9-10
Hardik Ray,27,No,No,3,1-2
Vaishnavi Prabhakar,63,No,No,3,11-12
Amol Biswas,42,No,No,3,11-12
Harrison Prabhakar,31,No,No,5,9-10
Gabriel Banerjee,58,No,No,4,10-11
Udarsh Purohit,25,Yes,No,5,1-2
Anthony Pau,26,No,Yes,4,4-5
Ekapad Dubey,45,Yes,Yes,3,9-10
Qushi Nagar,36,No,Yes,3,2-3
Vritti Vora,26,Yes,Yes,5,2-3
Gavin Subramanian,39,No,Yes,2,10-11
Nidhi Master,45,Yes,No,4,1-2
Bhanumati Gara,52,Yes,No,5,12-1
Kamala Barad,70,No,No,5,12-1
Nathan Varughese,53,Yes,No,5,9-10
Azad Chakraborty,54,Yes,No,5,10-11
Baghyawati Dhillon,63,No,No,2,12-1
Ganga Desai,54,No,No,5,12-1
Ryan Sawhney,29,No,No,4,10-11
Lekha Deshpande,25,No,No,1,11-12
Luke Swamy,56,No,No,5,10-11
Yashoda Jain,24,Yes,No,3,3-4
Dev Buch,21,No,No,4,10-11
Vedika Mann,68,Yes,Yes,4,4-5
Lajita Chada,20,No,No,5,12-1
Aadi Khosla,18,No,No,2,11-12
Utkarsh Jaggi,43,Yes,Yes,3,1-2
Yatan Issac,68,No,Yes,0,9-10
Warjas Contractor,65,No,Yes,3,12-1
Bachittar De,53,Yes,No,3,11-12
Siya Chaudhari,30,Yes,No,4,2-3
Om Gala,49,No,No,2,10-11
Leela Sidhu,21,No,Yes,3,11-12
Oliver Joshi,48,No,Yes,4,11-12
Harrison Dugal,56,No,No,3,1-2
Laban Bahl,40,No,Yes,3,2-3
Reyansh Shroff,42,Yes,Yes,4,12-1
Samesh Kapoor,64,No,Yes,3,2-3
Anika Gopal,66,No,Yes,4,11-12
Nitesh Mital,26,Yes,Yes,5,3-4
Nathan Subramaniam,63,Yes,No,3,9-10
Varenya Mane,48,Yes,No,5,2-3
Oeshi Bandi,65,Yes,No,3,1-2
Lohit Sankar,59,Yes,No,5,1-2
Yamini Chandra,51,Yes,Yes,3,2-3
Lipika Arya,24,Yes,Yes,4,4-5
Mitali Khosla,31,Yes,No,4,12-1
Abeer Soni,58,No,No,4,2-3
Yahvi Parikh,18,No,Yes,3,12-1
Siya Chacko,27,No,Yes,0,9-10
Rachana Natarajan,22,Yes,Yes,1,2-3
Ekaraj Wali,66,No,Yes,5,3-4
Libni Iyer,18,Yes,Yes,1,2-3
Sarthak Pandya,66,No,Yes,3,2-3
Vasudha Kala,54,No,Yes,2,4-5
Yasti Chahal,62,Yes,Yes,0,4-5
Ishanvi Kale,47,No,No,4,1-2
Aryan Jaggi,36,No,No,3,12-1
Tripti Pant,42,Yes,No,4,3-4
Bhanumati Kaul,20,No,No,4,4-5
Abeer Dhillon,32,No,Yes,4,1-2
Azad Vohra,25,No,Yes,5,1-2
Irya Thakkar,65,No,Yes,3,11-12
Pranit Ramaswamy,64,No,Yes,5,11-12
Gaurika Lad,33,Yes,No,5,1-2
Lila Behl,61,Yes,Yes,3,4-5
Yoshita Mitter,60,Yes,No,5,1-2
Ikshita Sharaf,23,No,Yes,3,3-4
Yatin Raja,33,No,No,0,11-12
Jonathan Ratta,55,No,Yes,5,2-3
Ganga Divan,51,No,Yes,5,11-12
Viraj Iyengar,26,Yes,No,3,3-4
Oni Balasubramanian,43,Yes,Yes,3,10-11
Baghyawati Jha,69,No,Yes,5,12-1
Urmi Dasgupta,31,Yes,No,5,2-3
Nitesh Mital,26,Yes,Yes,5,3-4
Vasudha Karnik,56,No,Yes,5,2-3
Vaishnavi Prabhakar,63,No,No,3,11-12
Ekavir Sani,57,Yes,Yes,5,12-1
Ekaja Behl,30,Yes,No,4,3-4
Advay Gade,28,No,No,1,1-2
Lila Thaman,69,Yes,No,2,11-12
Tanish Nagar,39,Yes,Yes,2,2-3
Falguni Sethi,30,Yes,Yes,2,12-1
Manbir Karnik,70,No,No,4,3-4
Aradhana Sani,37,Yes,Yes,4,11-12
Yutika Ramanathan,20,No,Yes,4,4-5
Lohit Rout,25,No,No,1,9-10
Diya Kulkarni,44,Yes,No,5,3-4
Karan Dada,52,Yes,No,3,3-4
